country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","27-03-2026 08:00:00",29.966942,76.875879,SO2,1,14,6
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","27-03-2026 08:00:00",29.966942,76.875879,CO,3,20,6
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","27-03-2026 08:00:00",27.9002,76.9938,PM2.5,32,190,73
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","27-03-2026 08:00:00",21.755417,72.139056,PM10,61,168,106
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","27-03-2026 08:00:00",21.755417,72.139056,CO,54,70,58
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","27-03-2026 08:00:00",23.243639,72.68994,PM2.5,32,93,51
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","27-03-2026 08:00:00",23.221714,72.654328,NH3,3,5,4
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","27-03-2026 08:00:00",23.221714,72.654328,CO,20,26,22
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","27-03-2026 08:00:00",23.593150,72.372792,NO2,24,50,39
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","27-03-2026 08:00:00",22.248853,70.776774,PM10,61,109,84
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","27-03-2026 08:00:00","21.217779 ","72.834787 ",NO2,3,77,29
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","27-03-2026 08:00:00","21.217779 ","72.834787 ",SO2,11,45,21
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","27-03-2026 08:00:00","21.217779 ","72.834787 ",CO,32,57,34
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","27-03-2026 08:00:00",22.969611,72.643500,PM10,61,186,104
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","27-03-2026 08:00:00",28.39072,77.30059,SO2,8,9,8
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","27-03-2026 08:00:00",28.39072,77.30059,OZONE,4,33,7
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","27-03-2026 08:00:00",29.503664,75.467934,SO2,10,11,10
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","27-03-2026 08:00:00",28.4227,77.0667,PM10,43,429,154
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","27-03-2026 08:00:00",29.140560,75.744941,NH3,NA,NA,NA
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","27-03-2026 08:00:00",29.140560,75.744941,CO,NA,NA,NA
India,Haryana,Jind,"Police Lines, Jind - HSPCB","27-03-2026 08:00:00",29.307814,76.337619,NH3,4,6,5
India,Haryana,Jind,"Police Lines, Jind - HSPCB","27-03-2026 08:00:00",29.307814,76.337619,SO2,1,3,1
India,Haryana,Jind,"Police Lines, Jind - HSPCB","27-03-2026 08:00:00",29.307814,76.337619,OZONE,7,13,10
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","27-03-2026 08:00:00",23.020509,72.579261,SO2,5,31,12
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","27-03-2026 08:00:00",23.020509,72.579261,OZONE,2,35,10
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","27-03-2026 08:00:00",23.016834,72.625775,PM10,62,193,114
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","27-03-2026 08:00:00",23.016834,72.625775,NO2,35,182,92
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","27-03-2026 08:00:00",28.4227,77.0667,CO,3,47,24
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","27-03-2026 08:00:00",30.943887,76.801991,SO2,19,129,57
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","27-03-2026 08:00:00",30.943887,76.801991,OZONE,20,112,30
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","27-03-2026 08:00:00",34.031606,75.009712,PM10,20,101,50
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC","27-03-2026 08:00:00",34.06313,74.96017,SO2,4,5,5
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC","27-03-2026 08:00:00",34.066206,74.819820,SO2,3,4,3
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","27-03-2026 08:00:00",23.80569,86.44268,NO2,85,150,116
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","27-03-2026 08:00:00",23.80569,86.44268,OZONE,5,58,21
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","27-03-2026 08:00:00",23.707909,86.414670,CO,36,40,38
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","27-03-2026 08:00:00",27.9002,76.9938,OZONE,21,32,27
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","27-03-2026 08:00:00",28.360699,76.936090,PM2.5,52,319,126
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","27-03-2026 08:00:00",28.360699,76.936090,NH3,8,10,9
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","27-03-2026 08:00:00",28.060249,76.113115,CO,26,42,33
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","27-03-2026 08:00:00",28.1485564,77.3320667,SO2,2,20,10
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","27-03-2026 08:00:00",28.3153,76.9143,PM2.5,37,240,90
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","27-03-2026 08:00:00",28.3153,76.9143,NH3,2,4,3
